,average,XP,standard,energy,RMS,PulseFactor,ClearanceFactor,Kurtosis,freq_arggmax,freq_sum,power_sum,power_mean,energy_sum,IMFs_1_energy,IMFs_2_energy,IMFs_3_energy,IMFs_4_energy,IMFs_5_energy,label
signal_52,50.82074472770095,85.0463894307613,56.25354116830133,1898280.22068203,56.24766988776854,1.6734581495498022,0.03292864279176231,-1.52523568225074,23733.164064879547,47041.520825860855,1898280.2206820305,3163.8003678033842,1138968132.4092183,696116.7776111634,293857.7279464635,3628.768867934461,2079.8309184912987,286.08955902708334,0
signal_53,50.67763763601581,85.656741052866,56.09522059546735,1887602.1881074472,56.08924715884272,1.6902275845626846,0.03335253305812081,-1.5244336145065314,23693.434131942948,44810.96059602787,1887602.1881074465,3146.0036468457442,1132561312.864468,891359.181668929,182855.0515161806,3654.916632841335,2598.7268604576084,309.9505985847295,0
signal_54,50.67051686709126,91.345229357481,56.07206495583181,1885661.4838909053,56.06040616886552,1.8027293780538987,0.03557748153196181,-1.5234796236255148,23670.381679361806,45325.97072433781,1885661.483890905,3142.769139818175,1131396890.334543,791217.1030028864,237809.1033832926,3709.853198464419,2418.3057245971286,212.77876517439213,0
signal_55,50.50539638961355,85.3515652418137,55.86551570133367,1872334.5891216854,55.861951707187444,1.6899494181450732,0.033460769322713635,-1.5286582023443163,23607.96267417945,42682.07568907044,1872334.5891216858,3120.557648536143,1123400753.4730113,664032.2102100955,303656.24250087905,3689.798029150943,2535.9022705346993,192.58550422680236,0
signal_56,50.57387786025802,87.9882954359055,55.95411233327228,1877667.218190599,55.94144584877118,1.7397972858444475,0.034401105065578044,-1.5258458658752128,23634.52344917301,44598.748386729036,1877667.2181905988,3129.445363650998,1126600330.914359,619023.2890213928,490957.2237574939,4104.793880283502,3026.8528130263066,224.9991088974778,0
signal_57,50.60828136533499,90.2343782186508,55.96168768413171,1878443.0875302474,55.95300241467905,1.7829962959472951,0.03523131487267989,-1.52494634848898,23659.019900126506,40961.846828918395,1878443.087530247,3130.7384792170783,1127065852.5181484,615290.4661059063,492524.28536005755,3754.6587581848125,3887.641567833182,220.08233328865936,0
signal_58,50.32247398982445,83.8256861865521,55.69323446009733,1859883.0337419414,55.6758929541015,1.6657703713752672,0.033101917280777916,-1.5255270111164831,23540.645795902983,41966.45143317359,1859883.0337419417,3099.8050562365693,1115929820.245165,861759.1540246443,195058.6503038216,2968.501170121754,3254.412726985433,261.2253045810047,0
signal_59,50.60948170488079,91.7602572739124,55.92848918448708,1876372.5293866838,55.92215615458515,1.8131040702806291,0.03582538309428632,-1.5313275557480162,23645.940526063136,41246.86282959682,1876372.529386684,3127.2875489778066,1125823517.6320107,614304.097471761,542579.9190311488,4093.494275564659,3178.348588932232,157.79187518661956,0
signal_60,50.55149830078085,89.6240265965462,56.04462805394219,1883874.8863118435,56.03384224900525,1.7729252269296598,0.035071665262635235,-1.515277334830783,23680.84357961035,43849.743197794145,1883874.8863118435,3139.7914771864057,1130324931.7871056,620256.9608182816,544385.1238972287,4693.75410264962,1932.2769181323138,234.47540272685427,0
signal_61,50.181910029898084,86.8774442970753,55.508545602377076,1848218.0318372569,55.50102148965754,1.7312502502458402,0.03449948894361278,-1.5326261535355767,23451.889123212364,42316.69675551289,1848218.0318372566,3080.363386395428,1108930819.102354,827720.9520353666,738142.76016499,3666.641339452722,4532.288367077212,130.88807649120992,0
signal_62,49.81787601470947,86.572268486023,54.9437786194493,1810770.9037509384,54.93588541428603,1.7377751805488708,0.03488256263747107,-1.5389910816433077,23098.34037238409,49239.707747659384,1810770.9037509386,3017.9515062515643,1086462542.2505631,818009.4614330309,617957.856149391,6240.630416560725,3267.140118308257,195.40981546832666,0
signal_63,49.8289233417809,83.2153345644474,54.93805707878228,1810365.7523533367,54.929739248627676,1.6700207225764485,0.03351508743469394,-1.5399191741956302,23090.26139309873,50067.744167234116,1810365.7523533367,3017.2762539222276,1086219451.412002,913452.3930174531,623963.0066567517,7005.442187576795,4066.483475197674,262.80280358400523,0
signal_64,49.855005738387504,81.6894555091858,55.02453736114833,1816357.6512086866,55.02056662753009,1.6385406901334747,0.03286612178387187,-1.534322417282459,23140.66983760144,48688.82459712316,1816357.651208687,3027.2627520144783,1089814590.725212,695500.8476338122,263310.1436888027,6526.365704853124,210.705497999421,192.99938157151632,0
signal_65,49.80636069546143,82.6049829423428,54.919773701388344,1809141.610604337,54.911164781616996,1.6585227627335986,0.0332994167727804,-1.5414838265300879,23070.05729485122,49890.135867176476,1809141.6106043372,3015.2360176738953,1085484966.3626022,878479.5001432579,608233.1904346212,7253.278232850069,2783.6103547896687,302.7028417603432,0
signal_66,49.97809331551194,81.6894555091858,55.12993598273358,1822879.720548096,55.119260404872634,1.634505241996326,0.032704433754158775,-1.542615040008942,23197.9064528174,48865.22770414306,1822879.720548096,3038.13286758016,1093727832.328858,736863.3097908692,595908.9033755402,6131.421537422476,3131.744627120449,223.2599000798047,0
signal_67,49.853479859332246,86.2670926749706,55.05089325591165,1817583.090820104,55.03912382448361,1.7304126596254437,0.034709967378566485,-1.5313213876894072,23172.5514874256,47641.29080125237,1817583.0908201041,3029.30515136684,1090549854.4920626,867558.8360434874,640894.7137334073,6547.747723649435,3384.857545966034,271.7260509389155,0
signal_68,50.149541030228136,84.3261857032776,55.48165535592223,1846213.54646584,55.470916500839124,1.681494665174486,0.03352961224831446,-1.5265056933326984,23450.925273157576,41788.85959799495,1846213.5464658397,3077.022577443066,1107728127.8795042,666790.4645233231,291431.78622392804,3820.5462740337853,4351.138413910861,366.2858176309183,0
signal_69,50.29921963031093,88.0981475412846,55.59260726956228,1853812.3013710878,55.584954519652285,1.7514813984946116,0.03482124397490945,-1.528870676106608,23492.275935253063,42942.54124961942,1853812.3013710878,3089.687168951813,1112287380.8226523,766146.9615105139,721534.2015465373,4755.299834592584,5127.064219313266,205.3516884864751,0
signal_70,50.48686211993297,83.8256861865521,55.84721355883454,1870809.1614662325,55.839191157379666,1.660346527130599,0.03288670472699212,-1.5273159146300324,23611.243168353365,41802.7981741352,1870809.1614662325,3118.0152691103876,1122485496.8797393,845209.1124391115,201657.87561169197,3444.7043428963416,3365.318848846544,166.70319525351357,0
signal_71,50.34296149656176,92.3706088960171,55.71925911124726,1862599.1742221415,55.71653216987668,1.8348266798393589,0.03644653840963787,-1.5238097672410842,23557.35708383066,41575.02621638907,1862599.1742221424,3104.331957036904,1117559504.5332856,688326.774904182,782513.5902688119,4045.2539376522236,3696.0703282445493,290.783563373276,0
signal_72,50.78684984897574,85.0463894307613,56.23362761385796,1896740.2380516694,56.22484975601194,1.674575006791379,0.03297261026763902,-1.5221082499943583,23728.81098498396,45305.12803215513,1896740.2380516694,3161.233730086116,1138044142.8310018,864598.673154074,201474.23240997264,3729.03561445348,1850.4431939870187,188.27246295847914,0
signal_73,50.69594818467896,85.0463894307613,56.106507907387886,1888221.6224173768,56.09844950943203,1.677577646263721,0.03309096103997339,-1.5230542864879475,23700.810032016576,45675.139687549745,1888221.622417377,3147.0360373622952,1132932973.450426,837270.1860326338,211602.55082678515,3619.1563750348378,2818.8554061092354,333.0087590555223,0
signal_74,50.792912731021644,87.1826201081276,56.1788917806598,1892774.6590822136,56.16604340527904,1.7164327741905816,0.03379276127124473,-1.5280565431483082,23719.660124439568,44585.370581704505,1892774.6590822139,3154.6244318036897,1135664795.449328,912461.6588735939,179028.85399021185,3755.6051767167473,2435.2702485231416,259.12476902896924,0
signal_75,50.652755578955016,84.741213619709,56.00239066422355,1881599.4658990449,55.999992052068556,1.6729832888877798,0.033028475346815356,-1.5305061565032747,23657.485039559084,44010.54643667884,1881599.465899044,3135.99910983174,1128959679.5394263,579784.3165461231,395072.1982789455,3947.8663891020396,2849.6792959242725,198.63752350379502,0
signal_76,50.69969165598353,102.136234849691,56.11740622825053,1888572.5160948336,56.1036617357375,2.0145336492916712,0.039734633160316626,-1.522049202371372,23702.60689068906,44316.51086642288,1888572.5160948336,3147.620860158056,1133143509.6569002,667993.9516275728,309400.72818679287,4164.813192880549,2494.966104888787,199.4020664821315,0
